850,600
0,0,50,50
50,0,50,50
100,0,50,50
150,0,50,50
200,0,50,50
250,0,50,50
300,0,50,50
350,0,50,50
400,0,50,50
450,0,50,50
500,0,50,50
550,0,50,50
600,0,50,50
650,0,50,50
700,0,50,50
750,0,50,50
800,0,50,50
0,50,50,50
0,100,50,50
0,150,50,50
0,200,50,50
0,250,50,50
0,500,50,50
0,550,50,50
800,50,50,50
800,100,50,50
800,150,50,50
800,200,50,50
800,250,50,50
800,300,50,50
800,350,50,50
800,400,50,50
800,450,50,50
800,500,50,50
800,550,50,50
800,600,50,50
400,300,100,100
400,400,50,50
400,450,50,50
400,500,50,50
400,550,50,50
